logged_at,work_date,owner,zone,metric,our,expected,pct,category
2026-06-29T13:25:27,2026-06-01,일룸,C-D,amount,128723900.0,129974650.0,0.962,price_version_diff
2026-06-29T13:25:27,2026-06-01,일룸,DPS,act,55.5734,55.5302,0.078,DPS_self_ref
2026-06-29T13:25:27,2026-06-01,데스커,M-N,std,44.9171,44.9603,0.096,group_order_nuance
2026-06-29T13:25:27,2026-06-01,3PL,W,amount,84409518.0,83013518.0,1.682,price_version_diff
2026-06-29T13:25:27,2026-06-01,3PL,R,amount,98362542.0,69453542.0,41.624,price_version_diff
2026-06-29T13:25:30,2026-06-02,일룸,DPS,std,57.0306,56.9873,0.076,DPS_self_ref
2026-06-29T13:25:30,2026-06-02,일룸,DPS,act,53.9568,53.9051,0.096,DPS_self_ref
2026-06-29T13:25:30,2026-06-02,퍼시스,L,amount,64318610.0,64363081.0,0.069,price_version_diff
2026-06-29T13:25:30,2026-06-02,3PL,W,amount,132768039.0,131972039.0,0.603,price_version_diff
2026-06-29T13:25:30,2026-06-02,3PL,R,amount,83190258.0,67966258.0,22.399,price_version_diff
2026-06-29T13:25:32,2026-06-03,3PL,R,amount,13836100.0,12737100.0,8.628,price_version_diff
2026-06-29T13:25:36,2026-06-04,일룸,DPS,std,68.1699,68.1066,0.093,DPS_self_ref
2026-06-29T13:25:36,2026-06-04,일룸,DPS,act,63.5971,63.5378,0.093,DPS_self_ref
2026-06-29T13:25:36,2026-06-04,퍼시스,E-F,amount,294167370.0,293986000.0,0.062,price_version_diff
2026-06-29T13:25:36,2026-06-04,퍼시스,L,amount,40657400.0,40902281.0,0.599,price_version_diff
2026-06-29T13:25:36,2026-06-04,3PL,W,amount,117902139.0,115710139.0,1.894,price_version_diff
2026-06-29T13:25:36,2026-06-04,3PL,R,amount,130328638.0,121137638.0,7.587,price_version_diff
2026-06-29T13:25:39,2026-06-05,일룸,DPS,std,74.1902,74.1261,0.086,DPS_self_ref
2026-06-29T13:25:39,2026-06-05,일룸,DPS,act,69.8554,69.8002,0.079,DPS_self_ref
2026-06-29T13:25:39,2026-06-05,퍼시스,L,amount,90083050.0,90144826.0,0.069,price_version_diff
2026-06-29T13:25:39,2026-06-05,데스커,M-N,std,36.165,36.0579,0.297,group_order_nuance
2026-06-29T13:25:39,2026-06-05,데스커,M-N,act,66.9367,66.8342,0.153,act_diff
2026-06-29T13:25:39,2026-06-05,데스커,S,std,15.0949,15.1571,0.41,group_order_nuance
2026-06-29T13:25:39,2026-06-05,데스커,S,act,10.8016,10.8597,0.535,act_diff
2026-06-29T13:25:39,2026-06-05,3PL,W,amount,39002463.0,38702463.0,0.775,price_version_diff
2026-06-29T13:25:39,2026-06-05,3PL,R,amount,64043563.0,56001563.0,14.36,price_version_diff
2026-06-29T13:25:42,2026-06-08,일룸,DPS,std,61.775,61.6895,0.139,DPS_self_ref
2026-06-29T13:25:42,2026-06-08,일룸,DPS,act,58.202,58.1366,0.113,DPS_self_ref
2026-06-29T13:25:42,2026-06-08,퍼시스,L,std,3.2744,3.2653,0.279,group_order_nuance
2026-06-29T13:25:42,2026-06-08,퍼시스,L,act,3.8376,3.8285,0.238,act_diff
2026-06-29T13:25:42,2026-06-08,데스커,M-N,std,33.4931,33.3281,0.495,group_order_nuance
2026-06-29T13:25:42,2026-06-08,데스커,M-N,act,61.4385,61.2959,0.233,act_diff
2026-06-29T13:25:42,2026-06-08,데스커,S,std,16.1863,16.3061,0.735,group_order_nuance
2026-06-29T13:25:42,2026-06-08,데스커,S,act,11.0184,11.2203,1.799,act_diff
2026-06-29T13:25:42,2026-06-08,3PL,W,amount,101083635.0,100285635.0,0.796,price_version_diff
2026-06-29T13:25:42,2026-06-08,3PL,R,amount,130858795.0,111207795.0,17.671,price_version_diff
2026-06-29T13:28:41,2026-06-09,일룸,DPS,std,66.7151,66.6465,0.103,DPS_self_ref
2026-06-29T13:28:41,2026-06-09,일룸,DPS,act,63.0206,62.971,0.079,DPS_self_ref
2026-06-29T13:28:41,2026-06-09,퍼시스,L,amount,56557900.0,56623716.0,0.116,price_version_diff
2026-06-29T13:28:41,2026-06-09,데스커,M-N,std,32.829,32.7267,0.313,group_order_nuance
2026-06-29T13:28:41,2026-06-09,데스커,M-N,act,53.0073,52.9147,0.175,act_diff
2026-06-29T13:28:41,2026-06-09,데스커,S,std,15.1568,15.2149,0.382,group_order_nuance
2026-06-29T13:28:41,2026-06-09,데스커,S,act,10.0594,10.2272,1.641,act_diff
2026-06-29T13:28:41,2026-06-09,3PL,W,amount,101979970.0,100487970.0,1.485,price_version_diff
2026-06-29T13:28:41,2026-06-09,3PL,R,amount,50658555.0,47531555.0,6.579,price_version_diff
2026-06-29T13:31:32,2026-06-10,일룸,C-D,amount,168111310.0,168399310.0,0.171,price_version_diff
2026-06-29T13:31:32,2026-06-10,일룸,DPS,std,58.2459,73.2092,20.439,DPS_self_ref
2026-06-29T13:31:32,2026-06-10,일룸,DPS,act,55.2423,71.1853,22.396,DPS_self_ref
