rowidx,B,J,G,H,D,M,U,V,W,X,AM,AS,AU
2,M-N,[야간]교육08,0.0,202606050287.0,DSBD0919A-ML,시작,M,102.0,5.0,1.0,0.0,1.044,0.0
3,M-N,[야간]교육08,0.0,202606050287.0,DSAD0016M-FK,0.0,M,104.0,14.0,2.0,0.0,0.6373333333333333,0.0
4,M-N,[야간]교육08,0.0,202606050287.0,DSDGBT1607-FK,0.0,M,103.0,13.0,1.0,0.0,0.45733333333333337,0.0
5,M-N,[야간]교육08,0.0,202606050287.0,DSAD0214-WW,0.0,M,108.0,18.0,1.0,0.0,0.6406666666666666,0.0
6,M-N,[야간]교육08,0.0,202606050287.0,DSDFBT1407-OCY,0.0,M,107.0,16.0,1.0,0.0,0.469,0.0
7,M-N,[야간]교육08,0.0,202606050287.0,DSAD0212-ML,0.0,M,108.0,15.0,1.0,0.0,0.324,0.0
8,M-N,[야간]교육08,0.0,202606050287.0,DSAD0212-ML,0.0,M,108.0,15.0,1.0,0.0,0.2856666666666667,0.0
9,M-N,[야간]교육08,0.0,202606050287.0,DSAD0608-ML,0.0,M,109.0,1.0,2.0,0.0,0.6973333333333332,0.0
10,M-N,[야간]교육08,0.0,202606050287.0,DSDFMT1407-WW,0.0,M,111.0,16.0,1.0,0.0,1.166,0.0
11,M-N,[야간]교육08,0.0,202606050287.0,DSDDML0500-WW,0.0,M,113.0,11.0,1.0,0.0,1.046,0.0
12,M-N,[야간]교육08,0.0,202606050287.0,DSDDME0700-WW,0.0,M,131.0,23.0,1.0,0.0,1.2126666666666668,0.0
13,M-N,[야간]교육08,0.0,202606050287.0,DSAA0303-WW,0.0,M,115.0,15.0,1.0,0.0,1.012,0.0
14,M-N,[야간]교육08,0.0,202606050287.0,DSABPA10001-WW,0.0,M,115.0,8.0,1.0,0.0,0.41566666666666663,0.0
15,M-N,[야간]교육08,0.0,202606050287.0,DSABPA10001-WW,0.0,M,115.0,8.0,1.0,0.0,0.2856666666666667,0.0
16,M-N,[야간]교육08,0.0,202606050287.0,DSABPA06001-FK,0.0,M,115.0,4.0,1.0,0.0,0.5156666666666666,0.0
17,M-N,[야간]교육08,0.0,202606050287.0,DSDFBX0501-OAT,0.0,M,116.0,4.0,1.0,0.0,0.41900000000000004,0.0
18,M-N,[야간]교육08,0.0,202606050287.0,DSDBBE0501-FK,0.0,M,116.0,3.0,1.0,0.0,0.45733333333333337,0.0
19,M-N,[야간]교육08,0.0,202606050287.0,DSDBBE0501-WW,0.0,M,116.0,2.0,1.0,0.0,0.9143333333333333,0.0
20,M-N,[야간]교육08,0.0,202606050287.0,DSBX0019-FK,0.0,M,131.0,25.0,1.0,0.0,0.9056666666666666,0.0
21,M-N,[야간]교육08,0.0,202606050287.0,DVDSAP1303-WWBI,0.0,M,120.0,17.0,1.0,0.0,0.7073333333333333,0.0
22,M-N,[야간]교육08,0.0,202606050287.0,DVDSAP2303A-WWBI,0.0,M,119.0,13.0,1.0,0.0,0.5156666666666666,0.0
23,M-N,[야간]교육08,0.0,202606050287.0,DSAD0200-WW,0.0,M,120.0,1.0,1.0,0.0,0.4756666666666667,0.0
24,M-N,[야간]교육08,0.0,202606050287.0,DSAD0200-WW,0.0,M,120.0,1.0,1.0,0.0,0.15233333333333335,0.0
25,M-N,[야간]교육08,0.0,202606050287.0,DSAD0200-WW,0.0,M,120.0,1.0,1.0,0.0,0.15233333333333335,0.0
26,M-N,[야간]교육08,0.0,202606050287.0,DSAD0200-WW,0.0,M,120.0,1.0,1.0,0.0,0.2856666666666667,0.0
27,M-N,[야간]교육08,0.0,202606050287.0,DSAD0100-FK,0.0,M,119.0,1.0,1.0,0.0,0.41900000000000004,0.0
28,M-N,[야간]교육08,0.0,202606050287.0,DSBD0000-FK,0.0,M,121.0,10.0,1.0,0.0,0.6373333333333333,0.0
29,M-N,[야간]교육08,0.0,202606050287.0,DSDFBL0607-OAT,0.0,M,122.0,13.0,1.0,0.0,0.484,0.0
30,M-N,[야간]교육08,0.0,202606050287.0,DSBABF1704M-WW,0.0,M,124.0,9.0,1.0,0.0,0.5806666666666667,0.0
31,M-N,[야간]교육08,0.0,202606050287.0,DHM1101EY1-451AWW,0.0,M,125.0,5.0,1.0,0.0,0.5806666666666667,0.0
32,M-N,[야간]교육08,0.0,202606050287.0,DSBABV0812-WHWW,0.0,M,127.0,4.0,2.0,0.0,0.5223333333333333,0.0
33,M-N,[야간]교육08,0.0,202606050287.0,DHMN101E-BKBK,0.0,M,125.0,8.0,1.0,0.0,4.119833333333333,22.53816666666666
34,M-N,[야간]교육08,0.0,202606050289.0,DSAC0185B-WW,시작,M,102.0,5.0,2.0,0.0,1.589,0.0
35,M-N,[야간]교육08,0.0,202606050289.0,DSDGBT16081-WW,0.0,M,104.0,14.0,1.0,0.0,0.6373333333333333,0.0
36,M-N,[야간]교육08,0.0,202606050289.0,DSDEMT16081-WW,0.0,M,104.0,4.0,2.0,0.0,0.584,0.0
37,M-N,[야간]교육08,0.0,202606050289.0,DSDEMT14071-WW,0.0,M,131.0,10.0,1.0,0.0,0.6823333333333332,0.0
38,M-N,[야간]교육08,0.0,202606050289.0,DSCDAV0807-WW,0.0,M,131.0,13.0,1.0,0.0,0.7886666666666667,0.0
39,M-N,[야간]교육08,0.0,202606050289.0,DSCDAD0807-WW,0.0,M,111.0,18.0,1.0,0.0,0.9753333333333334,0.0
40,M-N,[야간]교육08,0.0,202606050289.0,DSCDAB0803H-WW,0.0,M,112.0,13.0,1.0,0.0,0.8286666666666667,0.0
41,M-N,[야간]교육08,0.0,202606050289.0,DSAC0185H-ML,0.0,M,112.0,11.0,2.0,0.0,0.469,0.0
42,M-N,[야간]교육08,0.0,202606050289.0,DSDCME0800-PW,0.0,M,111.0,2.0,1.0,0.0,0.5723333333333332,0.0
43,M-N,[야간]교육08,0.0,202606050289.0,DSDCME0700-PW,0.0,M,111.0,2.0,2.0,0.0,0.41900000000000004,0.0
44,M-N,[야간]교육08,0.0,202606050289.0,DSDGBT1207-ML,0.0,M,113.0,14.0,1.0,0.0,0.8263333333333334,0.0
45,M-N,[야간]교육08,0.0,202606050289.0,DSDAMA0601-3F2,0.0,M,116.0,9.0,1.0,0.0,0.45566666666666666,0.0
46,M-N,[야간]교육08,0.0,202606050289.0,DSDAMA0601-3F2,0.0,M,116.0,9.0,1.0,0.0,0.2856666666666667,0.0
47,M-N,[야간]교육08,0.0,202606050289.0,DSDBBE0501-WW,0.0,M,116.0,2.0,1.0,0.0,0.41566666666666663,0.0
48,M-N,[야간]교육08,0.0,202606050289.0,DSDBBE0501-WW,0.0,M,116.0,2.0,1.0,0.0,0.43800000000000006,0.0
49,M-N,[야간]교육08,0.0,202606050289.0,DSDCML0501-PW,0.0,M,117.0,8.0,1.0,0.0,0.4673333333333334,0.0
50,M-N,[야간]교육08,0.0,202606050289.0,DSDCML0501-PW,0.0,M,117.0,8.0,1.0,0.0,0.2856666666666667,0.0
51,M-N,[야간]교육08,0.0,202606050289.0,DSCDBH0801-WW,0.0,M,117.0,10.0,1.0,0.0,0.7736666666666667,0.0
52,M-N,[야간]교육08,0.0,202606050289.0,DSAC0185VN-WW,0.0,M,117.0,13.0,1.0,0.0,0.484,0.0
53,M-N,[야간]교육08,0.0,202606050289.0,DSMX0016N-PW,0.0,M,118.0,13.0,1.0,0.0,0.41900000000000004,0.0
54,M-N,[야간]교육08,0.0,202606050289.0,DSMX0014N-PW,0.0,M,118.0,15.0,1.0,0.0,0.469,0.0
55,M-N,[야간]교육08,0.0,202606050289.0,DSAD0000-WW,0.0,M,122.0,1.0,1.0,0.0,0.749,0.0
56,M-N,[야간]교육08,0.0,202606050289.0,DSAD0100-WW,0.0,M,121.0,1.0,1.0,0.0,0.5713333333333334,0.0
57,M-N,[야간]교육08,0.0,202606050289.0,DHT1200HF-2H1,0.0,M,128.0,2.0,1.0,0.0,3.1115,17.2975
58,M-N,[야간]교육08,0.0,202606050292.0,DHT1200HF-2H1,시작,M,128.0,2.0,1.0,0.0,0.8273333333333334,0.0
59,M-N,[야간]교육08,0.0,202606050292.0,DHT1200HF-2H1,0.0,M,128.0,2.0,1.0,0.0,2.919833333333333,3.7471666666666663
60,M-N,[야간]교육08,0.0,202606050299.0,DSCC0066B-WW,시작,M,101.0,9.0,4.0,1.66,3.548,0.0
61,M-N,[야간]교육08,0.0,202606050299.0,DSDGBT18081-FK,0.0,M,101.0,15.0,1.0,0.0,0.5356666666666666,0.0
62,M-N,[야간]교육08,0.0,202606050299.0,DSDGBT16081-WW,0.0,M,104.0,14.0,1.0,0.0,0.5223333333333333,0.0
63,M-N,[야간]교육08,0.0,202606050299.0,DVDSCC0066H-OS,0.0,M,106.0,14.0,1.0,0.0,0.6363333333333333,0.0
64,M-N,[야간]교육08,0.0,202606050299.0,DSDFBT1407-WW,0.0,M,107.0,18.0,1.0,0.0,0.5806666666666667,0.0
65,M-N,[야간]교육08,0.0,202606050299.0,DSAD0614P-OS,0.0,M,108.0,11.0,1.0,0.0,0.5489999999999999,0.0
66,M-N,[야간]교육08,0.0,202606050299.0,DVDSDCMT1206-WW,0.0,M,107.0,5.0,1.0,0.0,0.5356666666666666,0.0
67,M-N,[야간]교육08,0.0,202606050299.0,DSDCME0600-PW,0.0,M,112.0,1.0,1.0,0.0,0.6323333333333333,0.0
68,M-N,[야간]교육08,0.0,202606050299.0,DSDFBX0501-WW,0.0,M,116.0,6.0,1.0,0.0,0.6406666666666666,0.0
69,M-N,[야간]교육08,0.0,202606050299.0,DSDBBE0501-FK,0.0,M,116.0,3.0,1.0,0.0,0.484,0.0
70,M-N,[야간]교육08,0.0,202606050299.0,DSDBBE0501-WW,0.0,M,116.0,2.0,1.0,0.0,0.45733333333333337,0.0
71,M-N,[야간]교육08,0.0,202606050299.0,DSDBMF1001-PW,0.0,M,117.0,3.0,1.0,0.0,0.5223333333333333,0.0
72,M-N,[야간]교육08,0.0,202606050299.0,DSDBML0601-PW,0.0,M,117.0,4.0,1.0,0.0,0.45733333333333337,0.0
73,M-N,[야간]교육08,0.0,202606050299.0,DSDBME05001-PW,0.0,M,117.0,5.0,1.0,0.0,0.45733333333333337,0.0
74,M-N,[야간]교육08,0.0,202606050299.0,DSFDAV2503-7P2,0.0,M,118.0,18.0,2.0,0.0,0.6206666666666666,0.0
75,M-N,[야간]교육08,0.0,202606050299.0,DSAX0018-FK,0.0,M,131.0,27.0,1.0,0.0,0.719,0.0
76,M-N,[야간]교육08,0.0,202606050299.0,DSAD0200-WW,0.0,M,120.0,1.0,1.0,0.0,0.9456666666666665,0.0
77,M-N,[야간]교육08,0.0,202606050299.0,DSAD0000-WW,0.0,M,122.0,1.0,1.0,0.0,0.484,0.0
78,M-N,[야간]교육08,0.0,202606050299.0,DSDAAL0800-FK,0.0,M,122.0,4.0,1.0,0.0,0.484,0.0
79,M-N,[야간]교육08,0.0,202606050299.0,DSDFBL0607-WW,0.0,M,122.0,11.0,1.0,0.0,0.5489999999999999,0.0
80,M-N,[야간]교육08,0.0,202606050299.0,DHM1491-WW,0.0,M,124.0,2.0,1.0,0.0,0.504,0.0
81,M-N,[야간]교육08,0.0,202606050299.0,DHM1491-WW,0.0,M,124.0,2.0,1.0,0.0,3.1605,18.02583333333333
82,M-N,[야간]교육08,0.0,202606050309.0,DSDEMT18081-FK,시작,M,101.0,8.0,1.0,0.0,1.6373333333333333,0.0
83,M-N,[야간]교육08,0.0,202606050309.0,DSDFMT1607-MAC,0.0,M,104.0,17.0,2.0,0.0,0.6373333333333333,0.0
84,M-N,[야간]교육08,0.0,202606050309.0,DVDSCC0126V-WW,0.0,M,103.0,7.0,1.0,0.0,0.584,0.0
85,M-N,[야간]교육08,0.0,202606050309.0,DVDSDCMT1206-WW,0.0,M,107.0,5.0,1.0,0.0,0.5856666666666667,0.0
86,M-N,[야간]교육08,0.0,202606050309.0,DVDSCC0126B-WW,0.0,M,107.0,3.0,1.0,0.0,0.469,0.0
87,M-N,[야간]교육08,0.0,202606050309.0,DVDSCC0126H-WW,0.0,M,107.0,2.0,1.0,0.0,0.45733333333333337,0.0
88,M-N,[야간]교육08,0.0,202606050309.0,DSCBAD0601-WW,0.0,M,107.0,1.0,1.0,0.0,0.45733333333333337,0.0
89,M-N,[야간]교육08,0.0,202606050309.0,DSAC0123H-MAC,0.0,M,110.0,10.0,1.0,0.0,0.6373333333333333,0.0
90,M-N,[야간]교육08,0.0,202606050309.0,DSAC0122B-MAC,0.0,M,110.0,10.0,2.0,0.0,0.41900000000000004,0.0
91,M-N,[야간]교육08,0.0,202606050309.0,DSAC0122H-MAC,0.0,M,110.0,13.0,2.0,0.0,0.484,0.0
92,M-N,[야간]교육08,0.0,202606050309.0,DSAC0123B-MAC,0.0,M,110.0,17.0,2.0,0.0,0.5156666666666666,0.0
93,M-N,[야간]교육08,0.0,202606050309.0,DSDCME0800-BK,0.0,M,111.0,3.0,1.0,0.0,0.6973333333333332,0.0
94,M-N,[야간]교육08,0.0,202606050309.0,DSDCME0600-PW,0.0,M,112.0,1.0,1.0,0.0,0.469,0.0
95,M-N,[야간]교육08,0.0,202606050309.0,DSDDML0600-BKM,0.0,M,113.0,13.0,1.0,0.0,0.6739999999999999,0.0
96,M-N,[야간]교육08,0.0,202606050309.0,DSDDME0701M-BK,0.0,M,131.0,24.0,2.0,0.0,0.7423333333333333,0.0
